1.00,1.00,1.00,1.33,1.47,1.73,2.33,2.07,1.60,1.80,1.93,1.07,1.00,1.00,1.00,1.00,1.13,1.27,1.27,1.40,1.20,1.40,1.00,1.47,1.53,1.27,1.40,1.20,1.00,1.00,1.20,1.00,1.00,1.00,1.47,1.67,1.60,1.13,1.13,1.20,1.13,1.20,1.07,1.00,1.33,1.53,1.47,1.13,1.53,1.20,1.47,1.33,1.73,1.80,1.47,1.13,1.53,1.40,1.33,1.33,1.27,1.27,1.07,1.20
1.07,1.13,1.13,1.53,1.87,1.80,1.67,1.80,2.13,2.40,1.73,1.27,1.00,1.27,1.00,1.13,1.13,1.07,1.13,1.20,1.00,1.60,1.07,1.47,1.07,1.27,1.00,1.00,1.27,1.27,1.00,1.00,1.00,1.00,1.07,1.00,1.00,1.00,1.47,1.60,1.20,1.13,1.33,1.33,1.13,1.20,1.33,1.60,1.60,2.13,2.07,1.27,1.27,1.40,1.33,1.60,1.53,1.20,1.00,1.27,1.33,1.13,1.13,1.33
1.00,1.13,1.00,1.73,1.93,1.93,2.27,2.00,1.67,1.20,1.27,1.27,1.53,1.27,1.33,1.13,1.00,1.27,1.53,1.40,1.73,1.27,1.13,1.40,1.60,1.07,1.20,1.00,1.07,1.07,1.07,1.07,1.00,1.00,1.27,1.07,1.33,1.20,1.47,1.07,1.47,1.33,1.33,1.07,1.00,1.00,1.40,1.00,1.73,1.60,1.53,1.20,1.33,1.40,1.53,1.87,1.53,1.60,1.27,1.13,1.20,1.07,1.00,1.20
1.00,1.07,1.00,1.60,2.27,2.00,1.87,2.13,1.93,1.67,1.33,1.33,1.00,1.00,1.13,1.13,1.20,1.13,1.00,1.13,1.20,1.20,1.27,1.13,1.27,1.00,1.13,1.20,1.33,1.27,1.27,1.00,1.00,1.33,1.40,1.33,1.20,1.47,1.07,1.27,1.07,1.13,1.07,1.13,1.07,1.13,1.13,1.20,1.67,1.80,1.53,1.27,1.20,1.13,1.13,1.93,1.93,1.67,1.80,1.73,1.13,1.13,1.20,1.40
1.00,1.00,1.00,1.40,1.53,1.40,1.87,1.80,1.87,2.00,1.40,1.07,1.00,1.27,1.00,1.13,1.13,1.07,1.07,1.40,1.33,1.13,1.73,1.93,1.00,1.33,1.20,1.13,1.20,1.00,1.33,1.27,1.00,1.00,1.00,1.13,1.47,1.27,1.00,1.33,1.20,1.40,1.47,1.00,1.00,1.33,1.27,1.80,1.87,2.13,1.73,1.20,1.40,1.07,1.27,1.33,1.07,1.07,1.27,1.47,1.27,1.20,1.13,1.07
1.00,1.27,1.13,1.40,1.67,1.47,1.73,2.00,2.07,2.27,1.93,1.33,1.07,1.00,1.07,1.00,1.07,1.13,1.00,1.00,1.20,1.20,1.67,1.53,1.40,1.07,1.13,1.20,1.00,1.13,1.20,1.13,1.00,1.13,1.00,1.00,1.33,1.00,1.13,1.13,1.27,1.47,1.00,1.13,1.00,1.07,1.20,1.33,1.73,1.80,1.60,1.40,1.20,1.20,1.47,1.60,1.13,1.13,1.53,1.53,1.13,1.20,1.13,1.13
1.00,1.00,1.07,1.40,1.60,1.73,1.33,1.80,1.93,1.47,1.13,1.20,1.20,1.27,1.53,1.93,1.07,1.00,1.13,1.00,1.00,1.20,1.00,1.27,1.67,1.07,1.33,1.13,1.07,1.07,1.40,1.07,1.00,1.20,1.40,1.00,1.13,1.13,1.13,1.60,1.47,1.00,1.13,1.13,1.47,1.20,1.27,1.07,1.73,1.67,2.00,1.40,1.40,1.40,1.80,1.73,1.53,1.47,1.53,1.60,1.27,1.20,1.27,1.13
1.00,1.00,1.13,1.47,1.87,1.00,2.13,1.87,1.80,1.93,1.87,1.33,1.07,1.07,1.00,1.07,1.40,1.13,1.00,1.00,1.00,1.13,1.00,1.33,1.00,1.27,1.00,1.00,1.13,1.07,1.00,1.07,1.00,1.20,1.00,1.00,1.40,1.27,1.27,1.47,1.27,1.20,1.20,1.07,1.07,1.20,1.13,1.27,1.33,1.33,1.00,1.13,1.20,1.20,1.53,1.47,1.87,1.33,1.40,1.07,1.33,1.20,1.07,1.33
1.00,1.00,1.20,1.47,1.80,1.60,1.33,1.40,1.80,1.87,1.93,1.87,1.40,1.00,1.07,1.13,1.13,1.00,1.13,1.00,1.00,1.00,1.07,1.13,1.00,1.27,1.13,1.07,1.07,1.27,1.20,1.13,1.00,1.00,1.20,1.00,1.13,1.33,1.13,1.13,1.13,1.40,1.60,1.07,1.00,1.13,1.20,1.00,1.13,1.47,1.40,1.20,1.60,1.47,1.27,1.73,1.20,1.40,1.33,1.27,1.07,1.20,1.00,1.07
1.00,1.00,1.00,1.67,1.87,1.80,2.07,2.07,2.13,1.47,1.67,1.33,1.07,1.00,1.00,1.07,1.33,1.20,1.00,1.07,1.13,1.13,1.00,1.07,1.00,1.00,1.07,1.20,1.00,1.13,1.07,1.07,1.00,1.27,1.13,1.40,1.00,1.53,1.33,1.20,1.67,1.20,1.13,1.13,1.20,1.27,1.13,1.40,1.80,2.20,1.67,1.00,1.20,1.33,1.40,1.40,1.33,1.20,1.33,1.40,1.13,1.20,1.07,1.33
1.00,1.00,1.00,1.87,2.07,2.53,2.27,2.47,1.93,2.27,1.27,1.00,1.13,1.33,1.20,1.00,1.07,1.07,1.07,1.27,1.20,1.20,1.60,2.20,1.13,1.33,1.20,1.00,1.07,1.13,1.13,1.40,1.13,1.00,1.33,1.13,1.27,1.47,1.40,1.20,1.27,1.27,1.13,1.20,1.20,1.07,1.60,1.13,1.67,1.93,1.80,1.33,1.13,1.20,1.33,1.20,1.60,1.60,1.73,1.33,1.07,1.27,1.13,1.13
1.00,1.07,1.07,1.20,1.33,1.47,2.07,1.27,1.67,2.13,1.47,1.00,1.00,1.07,1.07,1.07,1.07,1.27,1.07,1.07,1.00,1.20,1.13,1.53,1.40,1.07,1.13,1.20,1.13,1.27,1.27,1.07,1.13,1.00,1.20,1.20,1.33,1.00,1.47,1.20,1.27,1.07,1.00,1.13,1.07,1.00,1.27,1.47,1.80,1.87,1.87,1.07,1.27,1.33,1.07,1.13,1.80,2.07,1.73,1.67,1.67,1.60,1.33,1.27
1.40,1.00,1.13,1.73,1.73,2.20,1.67,1.87,2.00,2.07,1.93,1.40,1.33,1.07,1.00,1.07,1.00,1.13,1.27,1.00,1.00,1.27,1.13,1.27,1.20,1.00,1.13,1.00,1.07,1.07,1.13,1.27,1.13,1.07,1.27,1.13,1.00,1.00,1.07,1.40,1.20,1.20,1.13,1.07,1.33,1.13,1.00,1.60,1.87,2.27,1.87,1.13,1.20,1.27,1.27,1.33,1.20,1.40,1.20,1.13,1.13,1.00,1.00,1.40
1.00,1.00,1.00,1.67,1.53,1.93,1.80,1.73,2.40,2.00,1.87,1.40,1.00,1.07,1.07,1.13,1.20,1.13,1.27,1.27,1.13,1.27,1.40,1.53,1.20,1.53,1.00,1.20,1.13,1.27,1.13,1.27,1.00,1.00,1.00,1.20,1.33,1.40,1.00,1.00,1.40,1.40,1.07,1.13,1.20,1.13,1.27,1.20,1.33,1.53,1.27,1.27,1.27,1.07,1.53,1.20,1.27,1.80,1.40,1.33,1.27,1.13,1.40,1.33
1.00,1.00,1.00,1.13,1.93,2.07,2.07,2.00,1.80,1.67,1.73,1.33,1.00,1.07,1.00,1.00,1.13,1.20,1.33,1.07,1.40,1.00,1.27,1.27,1.00,1.20,1.13,1.07,1.00,1.13,1.00,1.00,1.13,1.20,1.00,1.33,1.20,1.33,1.20,1.13,1.00,1.73,1.00,1.13,1.00,1.27,1.20,1.20,1.13,1.73,1.93,1.00,1.13,1.33,1.33,1.67,1.73,1.33,1.67,1.53,1.20,1.33,1.20,1.47
1.40,1.00,1.00,1.80,2.73,2.40,2.20,2.20,2.53,2.60,1.67,1.07,1.07,1.00,1.13,1.13,1.13,1.00,1.20,1.20,1.07,1.00,1.00,1.27,1.07,1.00,1.27,1.07,1.00,1.00,1.00,1.53,1.00,1.00,1.00,1.13,1.07,1.27,1.67,1.13,1.40,1.07,1.40,1.07,1.13,1.07,1.13,1.20,1.40,1.13,1.07,1.00,1.33,1.20,1.13,1.40,1.20,1.07,1.00,1.00,1.13,1.00,1.20,1.27
1.00,1.00,1.00,1.27,2.60,1.73,1.47,1.67,1.07,1.13,1.47,1.00,1.00,1.13,1.47,1.13,1.20,1.00,1.20,1.13,1.07,1.13,1.53,1.93,1.33,1.20,1.07,1.13,1.13,1.20,1.27,1.07,1.00,1.27,1.00,1.20,1.67,1.00,1.00,1.13,1.13,1.07,1.07,1.33,1.33,1.07,1.20,1.13,2.27,2.40,1.87,1.20,1.47,1.80,1.60,1.47,2.20,1.80,1.33,1.07,1.13,1.07,1.20,1.07
1.00,1.00,1.00,1.67,1.60,2.33,2.47,2.00,2.07,1.60,1.33,1.20,1.13,1.00,1.27,1.00,1.33,1.27,1.20,1.00,1.07,1.40,1.27,1.00,1.00,1.20,1.20,1.20,1.07,1.00,1.13,1.27,1.00,1.13,1.00,1.00,1.00,1.00,1.00,1.13,1.07,1.27,1.00,1.07,1.13,1.00,1.07,1.00,1.47,2.07,1.87,1.20,1.20,1.47,1.53,1.40,1.87,1.07,1.33,1.13,1.33,1.07,1.00,1.20
1.00,1.00,1.00,1.87,2.53,1.87,2.20,1.93,1.60,2.00,1.73,1.40,1.13,1.13,1.00,1.00,1.33,1.00,1.13,1.07,1.07,1.27,2.20,1.07,1.80,1.00,1.00,1.00,1.00,1.07,1.00,1.00,1.13,1.07,1.20,1.27,1.40,1.07,1.13,1.27,1.27,1.53,1.00,1.13,1.13,1.00,1.13,1.27,2.40,2.33,1.87,1.20,1.67,1.40,1.67,1.33,1.47,1.20,1.27,1.33,1.27,1.33,1.33,1.27
1.00,1.00,1.13,1.80,2.13,1.80,2.40,2.73,1.93,2.20,1.53,1.33,1.13,1.13,1.00,1.07,1.00,1.13,1.13,1.07,1.07,1.13,1.13,1.80,1.27,1.00,1.20,1.00,1.00,1.13,1.13,1.13,1.00,1.13,1.00,1.27,1.07,1.20,1.20,1.07,1.20,1.00,1.00,1.20,1.07,1.00,1.47,1.00,1.67,2.20,1.93,1.27,1.47,1.20,1.67,2.07,1.53,1.20,1.27,1.20,1.07,1.07,1.00,1.00
1.00,1.00,1.00,2.20,2.00,2.33,2.27,1.93,1.67,1.07,1.00,1.00,1.00,1.07,1.00,1.00,1.27,1.00,1.13,1.20,1.33,1.27,1.47,1.00,1.13,1.00,1.27,1.00,1.00,1.33,1.00,1.13,1.53,1.20,1.07,1.13,1.53,1.13,1.20,1.27,1.00,1.00,1.07,1.00,1.27,1.13,1.13,1.00,1.73,2.07,1.93,1.07,1.40,1.40,2.13,1.80,1.07,1.40,1.13,1.20,1.27,1.07,1.20,1.13
1.00,1.00,1.00,2.33,2.07,1.67,1.87,1.87,2.27,2.27,2.40,1.67,1.00,1.00,1.27,1.00,1.27,1.13,1.07,1.00,1.40,1.13,2.47,1.53,1.00,1.00,1.20,1.00,1.00,1.13,1.27,1.07,1.13,1.00,1.40,1.13,1.47,1.00,1.13,1.00,1.00,1.20,1.13,1.00,1.07,1.00,1.07,1.27,2.00,1.80,1.60,1.47,1.27,1.93,1.53,1.53,1.47,1.67,1.27,1.07,1.27,1.13,1.13,1.13
1.20,1.07,1.07,2.20,1.53,1.73,1.40,2.07,1.93,1.80,2.67,2.27,1.53,1.00,1.00,1.00,1.13,1.33,1.20,1.07,1.20,1.27,1.07,1.20,1.13,1.40,1.33,1.27,1.07,1.00,1.20,1.20,1.00,1.20,1.27,1.07,1.00,1.13,1.20,1.53,1.40,1.27,1.33,1.33,1.00,1.33,1.07,1.00,1.93,2.13,1.60,1.07,1.07,1.07,2.07,2.27,1.67,1.07,1.33,1.60,1.33,1.27,1.13,1.13
1.13,1.27,1.00,2.07,1.80,1.07,2.07,2.40,2.13,2.33,2.13,1.00,1.13,1.07,1.13,1.13,1.20,1.27,1.20,1.00,1.00,1.00,1.53,1.20,1.07,1.47,1.33,1.13,1.00,1.00,1.00,1.27,1.13,1.07,1.00,1.33,1.47,1.20,1.00,1.00,1.20,1.00,1.07,1.00,1.00,1.00,1.00,1.07,1.13,1.67,1.47,1.00,1.33,1.13,1.27,1.47,1.27,1.20,1.33,1.07,1.33,1.27,1.20,1.13
1.00,1.00,1.00,2.00,2.67,2.60,2.40,2.87,2.20,1.27,1.27,1.20,1.07,1.00,1.00,1.07,1.07,1.13,1.00,1.13,1.73,1.80,1.53,2.27,2.07,1.20,1.13,1.20,1.13,1.20,1.27,1.00,1.13,1.00,1.27,1.40,1.60,1.47,1.73,1.27,1.07,1.07,1.07,1.33,1.13,1.00,1.00,1.00,2.20,2.00,1.80,1.27,1.80,2.00,2.20,1.87,1.47,1.33,1.53,1.20,1.33,1.40,1.20,1.47
1.00,1.00,1.13,2.53,2.87,2.87,2.80,2.53,1.80,2.20,1.87,1.47,1.07,1.13,1.13,1.13,1.47,1.00,1.00,1.00,1.27,1.07,1.33,1.00,1.00,1.20,1.00,1.00,1.13,1.00,1.20,1.13,1.00,1.00,1.33,1.07,1.07,1.40,1.13,1.13,1.13,1.27,1.20,1.07,1.27,1.00,1.20,1.00,1.87,1.87,2.00,1.07,1.20,1.40,1.27,1.60,1.13,1.07,1.73,1.20,1.20,1.20,1.33,1.20
1.07,1.00,1.00,1.67,2.07,2.73,2.33,2.87,2.67,2.13,1.73,1.60,1.00,1.00,1.13,1.07,1.00,1.07,1.00,1.13,1.13,1.13,1.27,1.33,1.00,1.07,1.13,1.07,1.00,1.07,1.00,1.33,1.33,1.07,1.00,1.20,1.33,1.33,1.47,1.13,1.53,1.13,1.20,1.27,1.40,1.07,1.07,1.13,2.20,2.40,1.47,1.07,1.27,1.40,1.33,1.47,1.87,1.67,1.20,1.13,1.00,1.27,1.07,1.20
1.67,1.27,1.00,1.33,2.00,1.00,1.47,2.27,2.00,2.00,2.27,2.33,2.07,1.07,1.00,1.00,1.20,1.00,1.27,1.33,1.27,1.13,1.20,1.00,1.00,1.20,1.20,1.33,1.00,1.00,1.00,1.07,1.00,1.00,1.07,1.00,1.07,1.40,1.07,1.53,1.60,1.07,1.53,1.47,1.33,1.33,1.00,1.20,1.60,2.27,1.80,1.07,1.53,1.60,2.07,1.80,1.47,1.33,1.27,1.33,1.13,1.07,1.20,1.27
1.13,1.00,1.00,1.93,2.47,2.67,2.47,2.47,2.73,2.27,1.87,1.27,1.00,1.00,1.20,1.00,1.20,1.13,1.00,1.00,1.00,1.13,1.07,1.00,1.20,1.00,1.07,1.00,1.13,1.00,1.00,1.20,1.00,1.00,1.20,1.00,1.07,1.33,1.13,1.00,1.20,1.13,1.00,1.20,1.00,1.07,1.13,1.20,1.33,1.33,1.13,1.07,1.40,1.53,1.67,1.87,1.60,1.60,1.47,1.20,1.47,1.13,1.07,1.00
1.00,1.00,1.40,1.93,2.67,1.73,2.07,2.07,1.67,2.00,2.07,1.40,1.40,1.27,1.13,1.13,1.00,1.20,1.13,1.20,1.00,1.00,1.40,2.13,1.00,1.07,1.00,1.00,1.00,1.20,1.13,1.00,1.07,1.07,1.07,1.20,1.33,1.20,1.33,1.13,1.13,1.33,1.40,1.47,1.00,1.00,1.20,1.00,1.13,1.20,1.33,1.80,1.80,1.80,1.73,1.73,1.53,1.60,1.20,1.13,1.33,1.53,1.07,1.27
1.07,1.07,1.13,1.93,2.60,2.40,2.33,2.53,2.07,2.07,2.20,1.60,1.27,1.27,1.27,1.07,1.00,1.00,1.00,1.07,1.13,1.13,1.07,1.20,1.40,1.13,1.47,1.00,1.13,1.33,1.27,1.33,1.00,1.33,1.13,1.20,1.00,1.20,1.13,1.07,1.27,1.20,1.20,1.07,1.13,1.00,1.40,1.27,2.33,2.13,1.87,1.33,1.27,1.40,1.40,1.60,1.60,1.47,1.60,1.67,1.20,1.40,1.33,1.13
1.07,1.00,1.13,1.80,2.67,1.47,1.93,1.47,1.47,1.53,1.53,1.67,1.20,1.00,1.53,1.53,1.07,1.00,1.13,1.20,1.93,1.27,1.60,1.00,1.13,1.07,1.53,1.07,1.07,1.07,1.13,1.40,1.00,1.00,1.47,1.47,1.53,1.00,1.20,1.13,1.40,1.33,1.20,1.20,1.33,1.60,1.20,1.00,1.60,2.20,1.67,1.40,1.27,1.60,1.40,1.20,1.07,1.53,1.40,1.40,1.20,1.27,1.07,1.27
1.00,1.00,1.00,1.67,2.33,2.13,1.27,1.47,1.53,1.60,1.33,1.07,1.07,1.00,1.00,1.07,1.00,1.00,1.00,1.07,1.13,1.13,1.07,1.33,1.00,1.07,1.13,1.33,1.13,1.20,1.00,1.07,1.00,1.00,1.00,1.80,1.07,1.00,1.13,1.07,1.13,1.13,1.27,1.13,1.20,1.00,1.00,1.00,1.20,2.07,2.07,1.00,1.13,1.40,1.13,1.27,1.13,1.27,1.07,1.13,1.20,1.27,1.40,1.13
1.00,1.00,1.07,1.47,1.73,2.07,1.60,1.53,1.80,1.60,1.27,1.13,1.13,1.00,1.13,1.07,1.13,1.20,1.27,1.27,1.00,1.00,1.40,2.53,2.33,1.27,1.53,1.13,1.00,1.20,1.00,1.27,1.00,1.13,1.00,1.27,1.40,1.20,1.00,1.13,1.13,1.47,1.07,1.00,1.00,1.07,1.13,1.00,1.27,1.67,1.60,1.07,1.27,1.40,1.73,1.60,1.93,1.47,1.07,1.33,1.20,1.13,1.13,1.00
1.00,1.07,1.07,1.67,1.67,2.33,1.93,2.40,1.40,1.33,1.20,1.00,1.07,1.27,1.00,1.00,1.00,1.07,1.00,1.00,1.07,1.00,1.13,1.40,1.20,1.07,1.00,1.20,1.00,1.13,1.13,1.20,1.00,1.00,1.27,1.00,1.20,1.20,1.33,1.13,1.00,1.07,1.07,1.20,1.07,1.07,1.00,1.07,1.73,2.27,2.07,1.33,1.53,1.33,1.73,1.53,2.07,1.33,1.20,1.27,1.47,1.20,1.40,1.13
1.00,1.00,1.00,1.33,1.47,1.53,2.47,2.07,1.67,1.93,1.80,1.07,1.00,1.00,1.00,1.00,1.13,1.00,1.27,1.40,1.20,1.13,1.00,1.60,1.53,1.27,1.40,1.20,1.00,1.00,1.20,1.00,1.00,1.00,1.33,1.53,1.80,1.00,1.13,1.20,1.00,1.20,1.07,1.00,1.20,1.67,1.40,1.07,1.47,1.20,1.60,1.20,1.87,1.80,1.33,1.20,1.40,1.47,1.20,1.33,1.13,1.00,1.07,1.20
1.07,1.13,1.27,1.47,1.87,1.80,1.80,1.80,2.20,2.27,1.93,1.27,1.00,1.27,1.00,1.13,1.20,1.07,1.13,1.20,1.00,1.33,1.07,1.40,1.07,1.27,1.00,1.00,1.27,1.27,1.00,1.00,1.00,1.00,1.07,1.00,1.00,1.00,1.47,1.33,1.40,1.13,1.20,1.13,1.07,1.13,1.33,1.60,1.93,2.47,2.33,1.27,1.13,1.27,1.33,1.53,1.27,1.40,1.00,1.13,1.20,1.13,1.00,1.07
1.00,1.13,1.00,1.80,2.07,1.93,2.13,1.93,1.80,1.20,1.33,1.67,1.67,1.33,1.33,1.07,1.00,1.27,1.53,1.40,1.73,1.27,1.13,1.47,1.60,1.07,1.20,1.00,1.00,1.07,1.07,1.07,1.00,1.00,1.27,1.07,1.20,1.20,1.40,1.13,1.40,1.33,1.47,1.00,1.00,1.13,1.33,1.00,1.87,1.73,1.33,1.27,1.33,1.33,1.47,2.00,1.73,1.47,1.27,1.07,1.13,1.13,1.00,1.20
1.00,1.00,1.00,1.60,2.13,2.20,1.93,2.07,2.07,1.80,1.47,1.33,1.00,1.00,1.07,1.13,1.20,1.13,1.00,1.13,1.20,1.27,1.33,1.27,1.13,1.00,1.13,1.13,1.27,1.13,1.27,1.00,1.00,1.33,1.40,1.13,1.13,1.33,1.00,1.20,1.07,1.07,1.07,1.00,1.07,1.13,1.13,1.13,1.87,2.20,1.40,1.07,1.07,1.07,1.07,1.87,2.00,1.87,1.87,1.60,1.13,1.07,1.20,1.33
1.00,1.00,1.00,1.47,1.53,1.40,1.60,1.80,2.07,2.13,1.40,1.13,1.00,1.20,1.00,1.13,1.13,1.00,1.00,1.40,1.33,1.13,1.93,2.20,1.00,1.07,1.20,1.00,1.07,1.00,1.33,1.00,1.00,1.00,1.00,1.13,1.40,1.27,1.07,1.07,1.07,1.40,1.40,1.00,1.13,1.20,1.27,1.53,2.00,2.33,1.87,1.27,1.27,1.00,1.27,1.33,1.07,1.07,1.27,1.27,1.27,1.20,1.13,1.07
1.00,1.27,1.13,1.40,1.73,1.53,1.73,2.07,2.13,2.27,2.07,1.67,1.07,1.00,1.07,1.00,1.00,1.13,1.07,1.00,1.20,1.20,1.73,1.73,1.40,1.07,1.07,1.20,1.00,1.07,1.20,1.07,1.00,1.00,1.00,1.00,1.33,1.00,1.07,1.20,1.40,1.20,1.00,1.27,1.07,1.00,1.20,1.13,1.47,2.00,1.67,1.53,1.27,1.27,1.40,1.33,1.13,1.20,1.60,1.53,1.20,1.13,1.13,1.07
1.00,1.00,1.07,1.53,1.47,1.80,1.33,1.80,1.93,1.80,1.13,1.13,1.20,1.40,1.80,2.00,1.07,1.00,1.20,1.00,1.00,1.33,1.00,1.13,1.67,1.07,1.27,1.13,1.07,1.00,1.40,1.20,1.00,1.20,1.40,1.00,1.13,1.13,1.33,1.33,1.47,1.00,1.13,1.00,1.47,1.20,1.20,1.00,1.93,2.13,2.00,1.20,1.13,1.40,1.73,2.07,1.67,1.33,1.60,1.67,1.20,1.20,1.20,1.07
1.00,1.00,1.13,1.47,2.00,1.00,2.00,1.93,1.73,2.13,1.80,1.33,1.13,1.00,1.00,1.13,1.40,1.13,1.00,1.00,1.00,1.13,1.00,1.33,1.00,1.00,1.00,1.00,1.13,1.07,1.00,1.00,1.00,1.20,1.00,1.00,1.27,1.13,1.27,1.47,1.27,1.00,1.20,1.00,1.07,1.07,1.13,1.33,1.20,1.27,1.00,1.13,1.27,1.27,1.87,1.40,1.67,1.27,1.73,1.20,1.33,1.27,1.07,1.27
1.00,1.00,1.20,1.40,2.00,1.67,1.40,1.47,1.93,2.20,1.93,1.80,1.27,1.00,1.07,1.00,1.07,1.00,1.20,1.00,1.00,1.00,1.07,1.40,1.00,1.27,1.13,1.13,1.07,1.27,1.20,1.27,1.00,1.00,1.27,1.07,1.33,1.20,1.13,1.13,1.13,1.27,1.53,1.13,1.00,1.13,1.07,1.00,1.00,1.33,1.27,1.20,1.87,1.40,1.27,1.40,1.33,1.40,1.33,1.27,1.20,1.27,1.07,1.07
1.00,1.00,1.00,1.53,1.67,1.93,2.07,2.07,2.33,1.47,1.80,1.47,1.07,1.00,1.00,1.07,1.20,1.20,1.00,1.07,1.13,1.07,1.00,1.07,1.00,1.07,1.00,1.07,1.00,1.07,1.07,1.00,1.00,1.07,1.00,1.27,1.00,1.47,1.33,1.33,1.73,1.07,1.20,1.07,1.00,1.20,1.13,1.13,1.87,2.53,1.80,1.07,1.27,1.33,1.20,1.27,1.20,1.33,1.27,1.40,1.13,1.13,1.00,1.13
1.00,1.00,1.00,2.00,2.40,2.33,2.27,2.47,2.07,2.20,1.27,1.00,1.13,1.27,1.20,1.00,1.07,1.07,1.07,1.40,1.20,1.20,1.73,2.07,1.00,1.27,1.20,1.00,1.07,1.20,1.07,1.40,1.07,1.00,1.33,1.13,1.27,1.20,1.33,1.27,1.33,1.13,1.07,1.20,1.07,1.07,1.47,1.13,2.27,2.20,1.80,1.53,1.13,1.07,1.40,1.27,1.67,1.87,1.73,1.40,1.07,1.20,1.27,1.13
1.00,1.07,1.07,1.27,1.47,1.47,2.33,1.27,1.67,2.13,1.53,1.00,1.00,1.07,1.07,1.07,1.07,1.27,1.00,1.07,1.00,1.33,1.13,1.47,1.27,1.13,1.13,1.20,1.13,1.27,1.27,1.07,1.00,1.00,1.20,1.13,1.07,1.00,1.47,1.20,1.20,1.07,1.00,1.27,1.00,1.00,1.27,1.33,1.87,1.87,2.00,1.07,1.40,1.27,1.07,1.07,2.00,2.00,1.60,1.73,1.80,1.60,1.13,1.27
1.47,1.00,1.13,1.80,1.73,2.13,1.87,1.73,2.20,2.07,1.93,1.47,1.20,1.07,1.00,1.07,1.00,1.13,1.27,1.00,1.00,1.20,1.07,1.13,1.20,1.00,1.13,1.00,1.07,1.00,1.13,1.27,1.13,1.07,1.27,1.27,1.00,1.00,1.33,1.27,1.13,1.20,1.07,1.07,1.27,1.07,1.00,1.47,1.87,2.40,1.93,1.13,1.20,1.47,1.33,1.20,1.13,1.27,1.00,1.07,1.13,1.00,1.00,1.13
1.00,1.00,1.00,1.13,2.27,1.80,2.07,2.20,1.93,1.87,2.00,1.27,1.00,1.07,1.00,1.07,1.13,1.13,1.20,1.07,1.40,1.00,1.27,1.27,1.13,1.20,1.13,1.00,1.00,1.27,1.00,1.40,1.00,1.00,1.00,1.27,1.27,1.00,1.13,1.20,1.00,1.93,1.00,1.33,1.00,1.00,1.40,1.20,1.47,2.00,2.47,1.13,1.07,1.53,1.27,1.40,1.53,1.27,1.73,1.33,1.27,1.60,1.07,1.00
1.27,1.13,1.20,2.13,2.33,2.47,1.80,2.00,1.73,2.07,1.93,1.60,1.13,1.07,1.00,1.07,1.13,1.00,1.40,1.07,1.27,1.13,2.40,2.87,1.40,1.20,1.00,1.13,1.00,1.20,1.07,1.20,1.07,1.20,1.00,1.00,1.00,1.47,1.27,1.00,1.13,1.27,1.13,1.07,1.20,1.40,1.00,1.20,2.13,2.60,2.07,1.13,1.20,1.53,1.53,1.87,1.60,1.73,1.80,2.00,1.87,1.07,1.00,1.13
1.00,1.00,1.00,1.33,2.67,1.73,1.73,1.67,1.07,1.13,1.47,1.00,1.00,1.20,1.47,1.33,1.07,1.07,1.27,1.13,1.00,1.13,1.53,2.20,1.33,1.40,1.07,1.13,1.13,1.20,1.27,1.07,1.00,1.27,1.00,1.20,1.20,1.00,1.13,1.20,1.27,1.07,1.07,1.07,1.27,1.00,1.07,1.20,2.27,2.80,2.07,1.47,1.33,1.33,1.73,1.73,2.40,1.80,1.20,1.07,1.27,1.20,1.20,1.07
1.00,1.00,1.00,1.80,1.60,2.53,2.47,1.87,2.47,1.60,1.53,1.27,1.20,1.07,1.27,1.07,1.40,1.27,1.20,1.00,1.07,1.47,1.27,1.00,1.00,1.20,1.27,1.13,1.07,1.00,1.13,1.07,1.00,1.20,1.00,1.00,1.00,1.00,1.20,1.13,1.13,1.20,1.00,1.13,1.00,1.07,1.07,1.00,1.47,2.40,2.20,1.53,1.13,1.40,1.53,1.73,1.80,1.13,1.27,1.20,1.07,1.07,1.00,1.07
1.00,1.00,1.00,1.93,2.60,2.07,2.40,2.07,1.73,2.00,1.93,1.27,1.13,1.13,1.00,1.13,1.40,1.00,1.13,1.13,1.13,1.47,2.33,1.20,1.80,1.00,1.00,1.00,1.27,1.07,1.00,1.00,1.13,1.00,1.20,1.27,1.40,1.07,1.13,1.07,1.40,1.60,1.07,1.27,1.13,1.00,1.00,1.33,2.27,2.53,2.00,1.20,1.87,1.80,1.80,1.27,1.67,1.07,1.20,1.20,1.13,1.13,1.33,1.07
1.00,1.00,1.07,1.93,2.33,2.20,2.47,2.73,2.07,2.27,1.53,1.40,1.20,1.07,1.00,1.13,1.00,1.13,1.13,1.13,1.07,1.13,1.13,1.73,1.33,1.00,1.20,1.07,1.00,1.13,1.20,1.13,1.00,1.00,1.00,1.07,1.00,1.20,1.27,1.33,1.00,1.13,1.00,1.13,1.13,1.00,1.07,1.00,2.00,2.53,2.20,1.20,1.73,1.20,1.80,1.87,1.27,1.53,1.40,1.20,1.07,1.07,1.13,1.00
